Restaurant;Type de restaurant;Catégorie du restaurant;Adresse;Code postal;Commune;Code Insee de la Commune;latitude;longitude;Conctact-téléphone-fixe;Adresse e-Mail;Url du site web;Plateforme/url.;Animal_accepté;Service(s) proposé(s) sur l'équipement;Langue(s) parlée(s) à l'accueil;Horaires d'ouvertures;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
RESTAURANT LA FLEUR DE LYS;Restaurant;Cuisine traditionnelle;Route nationale 162;49500;SEGRÉ-EN-ANJOU BLEU;49331;47.6956185;-0.7091962;09 88 28 16 68;dentiersandrine@hotmail.fr;;Facebook||https://www.facebook.com/AnjoulaFleurdeLys/ ;oui;Banquet,Chaise haute / Réhausseur,Plats à emporter,Séminaire,Service en terrasse,Table à langer,Traiteur,WiFi;Français;01/01/2023||31/12/2024||Ouvert du lundi au vendredi midi. Sur réservation à partir de 20 personnes le soir.||Fermé le weekend (uniquement pour des groupes sur réservations). Fermé pour congés première semaine de mai et première semaine de septembre||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||||||||||||||||;Menu adulte du jour (midi en semaine)||13,90||14,50||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.6956185, -0.7091962;Maine-et-Loire
RESTAURANT LA GRANDE RECREE;Restaurant;Cuisine traditionnelle;11 ter, rue des Sencies;53290;BOUERE;53036;47.8624076;-0.4758855;02 43 07 75 81;lagranderecree53@gmail.com;;Facebook||https://www.facebook.com/La-Grande-Récrée-911381782308653;oui;WiFi;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux;47.8624076, -0.4758855;Mayenne
Restaurant La Passerelle;Restaurant;Restaurant gastronomique - cuisine raffinée;71, Rue de Bretagne;49450;SEVREMOINE;49301;47.1227521;-0.9990322;02 41 30 90 57;contact@restaurant-lapasserelle.fr;http://www.restaurant-lapasserelle.fr/;Google+||https://g.co/kgs/JM59SNK;oui;Climatisation,Plats à emporter,Service en terrasse,WiFi;Français;01/01/2024||30/12/2024||||||||||||||12:00||||||13:30||12:00||||||13:30||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||19:00||||||21:00||12:00||||||13:30;"Menu adulte du jour (midi en semaine)||23,00||23,00|| ; Menu adulte soir et week-end||29,50||42,50||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.1227521, -0.9990322;Maine-et-Loire
Restaurant La Philippière;Restaurant;Cuisine traditionnelle;3 rue Philippière;49160;LONGUE-JUMELLES;49180;47.379775;-0.110652;02 41 52 76 77;gueretdenis@neuf.fr;;Facebook||https://www.facebook.com/La-philippi%C3%A8re-321914784669187/about/?ref=page_internal&path=%2FLa-philippi%25C3%25A8re-321914784669187%2Fabout%2F;oui;Plats à emporter;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.379775, -0.110652;Maine-et-Loire
RESTAURANT LA POMME DE PIN;Restaurant;Cuisine traditionnelle;1 place de l'église;49150;BAUGE-EN-ANJOU;49018;47.4788462;-0.101633;02 41 82 75 74;lapommedepin@live.fr;https://traiteur-lapommedepin-anjou-49.fr/fr/page/accueil;Facebook||https://www.facebook.com/LaPommedepinRestaurant/;oui;Banquet,Traiteur;Anglais;01/01/2024||31/12/2024||||||||||||||08:00||15:00||17:00||20:00||08:00||15:00||17:00||20:00||08:00||15:00||17:00||20:00||08:00||15:00||17:00||20:00||09:00||15:00||||||09:00||15:00||||;Menu adulte du jour (midi en semaine)||14,00||||;Cartes bancaires,Chèques bancaires et postaux;47.4788462, -0.101633;Maine-et-Loire
Restaurant La Réserve;Restaurant;Brasserie;Théâtre Le Quai;49100;ANGERS;49007;47.47194;-0.56406;02 41 87 85 80;contact@lareserveangers.fr;http://www.lareserveangers.fr;Facebook||https://www.facebook.com/Au-quai-des-saveurs-Angers-316153295150765/;oui;Chaise haute / Réhausseur,Climatisation,Service en terrasse,WiFi;Anglais,Français;"19/05/2021||31/12/2021||||||11:30||14:30||18:00||20:30||11:30||14:30||18:00||20:30||11:30||14:30||18:00||20:30||11:30||14:30||18:00||20:30||11:30||14:30||18:00||20:30||11:30||14:30||18:00||20:30|||||||| ; 03/01/2022||31/10/2022||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00|||||||||||| ; 05/12/2022||30/12/2022||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00||||||11:00||23:00|||||||||||| ; 01/01/2023||23/12/2023||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00|||||||||||| ; 26/12/2023||29/12/2023||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00||||||11:45||23:00|||||||||||| ; 02/01/2024||31/12/2024||||||11:30||14:30||18:30||22:00||11:30||14:30||18:30||22:00||11:30||14:30||18:30||22:00||11:30||14:30||18:30||22:00||11:30||14:30||18:30||22:00||11:30||14:30||18:30||22:00||||||||";;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.47194, -0.56406;Maine-et-Loire
Restaurant La Saveur;Restaurant;Cuisine traditionnelle;4 place de l'Eglise;53300;OISSEAU;53170;48.3572644;-0.6699543;09 86 27 90 65;;;Facebook||https://www.facebook.com/restaurantlasaveur;oui;Banquet,Bon cadeau,Plats à emporter,Service en terrasse,Traiteur,WiFi;Français;"01/01/2024||09/08/2024||||||07:30||19:30||||||07:30||19:30||||||07:30||19:30||||||07:30||15:00||||||07:30||19:30||||||09:00||13:00|||||||||||| ; 02/09/2024||31/12/2024||||||07:30||19:30||||||07:30||19:30||||||07:30||19:30||||||07:30||15:00||||||07:30||19:30||||||09:00||13:00||||||||||||";Menu adulte du jour (midi en semaine)||14,50||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.3572644, -0.6699543;Mayenne
RESTAURANT LA TAVERNE MAYENNE;Hôtel restaurant;Brasserie;17 Place Clemenceau;53100;MAYENNE;53147;48.3030577;-0.619635;02 43 04 37 83;;https://www.lestavernes.com/mayenne/;Facebook||https://www.facebook.com/latavernemayenne/;oui;Climatisation,Service en terrasse;Français;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;48.3030577, -0.619635;Mayenne
Restaurant La Terrasse;Restaurant;Cuisine traditionnelle;3 Bis Rue de L'Ile;72300;SABLE-SUR-SARTHE;72264;47.839638;-0.3312187;02 43 95 74 90;laterrasse.sable@gmail.com;https://www.laterrasse-sable.fr/;Facebook||https://www.facebook.com/laterrassesable ;oui;Service en terrasse;Anglais,Espagnol,Français,Italien;01/01/2024||31/12/2024||||Fermé le dimanche et lundi, semaine 9, 17, 44||||||||||||||||||||||||||||||||||||||||||||||||||||||||;"Menu adulte du jour (midi en semaine)||20,90|||| ; Menu adulte soir et week-end||40,00||45,00|| ; Menu enfant||10,00||||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.839638, -0.3312187;Sarthe
RESTAURANT LATTÉ;Restaurant;Cuisine traditionnelle;RD 347-croix verte;49250;BEAUFORT-EN-ANJOU;49021;47.4748278;-0.342835;02 41 45 79 20;;;Facebook||https://www.facebook.com/people/Boulangerie-P%C3%A2tisserie-Latt%C3%A9/100069813022324/;oui;Plats à emporter,Service en terrasse;Tout;01/01/2024||31/12/2024||Ouvert midi et soir du lundi au vendredi + ||Fermé samedi soir +le dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Plats à la carte||9,10||||;Tout;47.4748278, -0.342835;Maine-et-Loire
RESTAURANT LE BEAU NID;Restaurant;Restaurant gastronomique - cuisine raffinée;115 place Charles de Gaulle;44240;SUCE-SUR-ERDRE;44201;47.3406319;-1.526951;02 40 77 77 77;;http://www.lebeaunid.fr/;Facebook||https://www.facebook.com/LEBEAUNID/ ;oui;Service en terrasse,WiFi;Anglais,Espagnol,Français;||||||||||||||||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||||;Menu adulte du jour (midi en semaine)||20,00||25,00||;Cartes bancaires,Espèces,Tickets Restaurant;47.3406319, -1.526951;Loire-Atlantique
RESTAURANT LE BOMBAY;Restaurant;Cuisine du Monde;23 Place de l'Eperon;72000;LE MANS;72181;48.0058079;0.19436666;02 43 23 93 08;sultan-ahmedso@yahoo.fr;;;oui;;Tout;;;Tout;48.0058079, 0.19436666;Sarthe
RESTAURANT LE CARRÉ D'AS;Restaurant;Cuisine traditionnelle;32, rue de Nantes;53230;COSSE-LE-VIVIEN;53077;47.944652;-0.9134178;02 43 98 81 58;lecarredascosse@orange.fr;;Facebook||https://www.facebook.com/lecarredas53;oui;Banquet,Séminaire,WiFi;Français;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;47.944652, -0.9134178;Mayenne
Restaurant Le Cavier;Restaurant;Restaurant gastronomique - cuisine raffinée;2 route nationale 162;49240;AVRILLE;49015;47.52037;-0.6102;02 41 42 30 45;hotel@hotelmoulincavier.com;http://www.hotelmoulincavier.com/;Facebook||http://www.facebook.com/pages/LE-CAVIER/90799355225;oui;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,Table à langer;Anglais,Français;"01/01/2021||31/12/2021||||||12:00||14:00||19:30||21:30||12:00||14:00||19:30||21:30||12:00||14:00||19:30||21:30||12:00||14:00||19:30||21:30||12:00||14:00||19:30||21:30||12:00||14:00||19:30||21:30|||||||| ; 10/01/2022||23/12/2022||||||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:30|||||||| ; 01/01/2023||22/12/2023||||||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||||||||";;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.52037, -0.6102;Maine-et-Loire
Restaurant Le Cellier;Restaurant;Cuisine traditionnelle;52 rue Sain-Nicolas;49400;SAUMUR;49328;47.261091;-0.07986;02 41 40 96 20;restaurant.lecellier49@gmail.com;;Facebook||https://www.facebook.com/LeCellier49/;oui;;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.261091, -0.07986;Maine-et-Loire
Restaurant Le Chemin De Fer;Restaurant;Cuisine traditionnelle;2 rue du Pont Aubry;72430;CHANTENAY-VILLEDIEU;72059;47.9192401;-0.1629716;02 43 95 74 81;;;;oui;Banquet,Séminaire,Traiteur;Français;03/01/2024||22/12/2024||||Fermé le mercredi après-midi. Fermé les deux dernières semaines d'août et entre Noël et le Nouvel An||09:00||20:00||||||09:00||20:00||||||09:00||14:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||;Menu adulte du jour (midi en semaine)||14,00||14,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.9192401, -0.1629716;Sarthe
Restaurant Le Coco'ning;Restaurant;Guinguette;Route de Longué;49160;GENNES-VAL-DE-LOIRE;49261;47.337854;-0.141414;09 80 71 20 71;lecoconing@hotmail.fr;https://www.restaurantlecoconing.org;Facebook||https://www.facebook.com/Le-Coconing-320716875392708/ ;oui;Banquet,Chaise haute / Réhausseur,Plats à emporter,Service en terrasse;Anglais,Espagnol,Français,Italien;04/09/2023||20/11/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;"Plats à la carte||14,50|||| ; Menu enfant||11,50||11,50||";Cartes bancaires,Tickets Restaurant;47.337854, -0.141414;Maine-et-Loire
RESTAURANT LE COMPTOIR DES PAPILLES;Restaurant;Cuisine traditionnelle;76 Bis boulevard Marie et Alexandre Oyon;72100;LE MANS;72181;47.9935063;0.19453729;02 43 85 83 87;;https://www.facebook.com/molierelaure;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g187195-d6878318-Reviews-Le_Comptoir_Des_Papilles-Le_Mans_Sarthe_Pays_de_la_Loire.html;oui;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;Tout;||||Ouvert tous les midis du lundi au vendredi. Le week-end sur reservation.||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||||||||||||||||;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.9935063, 0.19453729;Sarthe
RESTAURANT LE GRAIN DE RIZ;Restaurant;Cuisine du Monde;124 rue Nationale;72000;LE MANS;72181;47.9975642;0.2007588;02 43 84 65 88;;;;non;;Anglais,Français;||||||||11:30||14:00||19:30||22:00||11:30||14:00||19:30||22:00||11:30||14:00||19:30||22:00||11:30||14:00||19:30||22:00||11:30||14:00||19:30||00:00||11:30||14:00||19:30||00:00||11:30||14:00||19:30||22:00;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.9975642, 0.2007588;Sarthe
RESTAURANT LE GRANITIER;Restaurant;Brasserie;2 rue du commerce;49370;BECON-LES-GRANITS;49026;47.504054;-0.7928348;02 41 81 19 23;;http://le-granitier.business.site/;Facebook||https://fr-fr.facebook.com/legranitier/ ;oui;Banquet,Climatisation,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;Français;01/01/2023||31/12/2024||Ouvert tous les midis du lundi au samedi.||Fermé le dimanche. Pas de fermeture pour congés d'été.||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||;Menu adulte du jour (midi en semaine)||14,00||14,00||;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.504054, -0.7928348;Maine-et-Loire
RESTAURANT LE GRENIER A SEL;Restaurant;Restaurant gastronomique - cuisine raffinée;26 place de l'Eperon;72000;LE MANS;72181;48.0056145;0.19553089;02 43 23 26 30;mofo@orange.fr;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g187195-d1934125-Reviews-Le_Grenier_a_Sel-Le_Mans_Sarthe_Pays_de_la_Loire.html;non;;Anglais;;;Cartes bancaires,Chèques bancaires et postaux;48.0056145, 0.19553089;Sarthe
RESTAURANT LE JARDIN D'ASIE;Restaurant;Cuisine du Monde;41-43 rue Pasteur;49500;SEGRÉ-EN-ANJOU BLEU;49331;47.6850948;-0.8725647;02 41 61 26 44;;;Google+||https://g.co/kgs/W4AnFX9 ;non;Plats à emporter;Anglais,Chinois,Français;||||||||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||21:00;"Menu adulte du jour (midi en semaine)||10,90||12,50|| ; Menu adulte soir et week-end||19,90||29,90||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.6850948, -0.8725647;Maine-et-Loire
Restaurant Le Lion d'Or;Restaurant;Brasserie;1 rue des Mauges;49600;BEAUPREAU-EN-MAUGES;49023;47.1983663;-0.9946711;02 41 63 01 50;dumais.pascal@orange.fr;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g3946440-d5981606-Reviews-Le_Lion_d_Or-Beaupreau_Maine_et_Loire_Pays_de_la_Loire.html;oui;Service en terrasse,WiFi;Français;01/01/2024||31/12/2024||||||07:30||||||23:00||07:30||||||23:00||07:30||||||23:00||07:30||||||00:00||07:30||||||00:00||07:30||||||00:00||||||15:30||23:00;"Plats à la carte||4,00||13,00|| ; Menu adulte du jour (midi en semaine)||13,40||13,40||";Cartes bancaires,Chèques bancaires et postaux,Espèces;47.1983663, -0.9946711;Maine-et-Loire
RESTAURANT LE LISBOA;Restaurant;Cuisine du Monde;80 Avenue Léon Bollée;72000;LE MANS;72181;48.0013458;0.2102601;09 81 42 98 92;;https://www.facebook.com/pages/Le-Lisboa/1399192446970526;;oui;;Tout;;;Tout;48.0013458, 0.2102601;Sarthe
RESTAURANT LE MOULIN DE L'ÉPINAY;Restaurant;Restaurant gastronomique - cuisine raffinée;Rue de l'Evre;49410;MAUGES-SUR-LOIRE;49244;47.33348;-1.053403;02 41 72 70 70;​contact@restomoulinepinay.com;http://www.restomoulinepinay.com/;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187192-d1870705-Reviews-Restaurant_Le_Moulin_de_l_Epinay-Pays_de_la_Loire.html ;oui;Banquet,Bon cadeau,Chaise haute / Réhausseur,Plats à emporter,Séminaire,Service en terrasse,Table à langer,Traiteur,WiFi;Anglais;"30/03/2024||25/08/2024||||||||||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||||||13:30 ; 18/09/2024||28/04/2025||||||||||||||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||13:30||19:00||20:30||12:00||||||13:30";"Menu adulte du jour (midi en semaine)||22,00||71,00|| ; Menu adulte soir et week-end||22,00||71,00|| ; Menu enfant||13,00||13,00||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.33348, -1.053403;Maine-et-Loire
Restaurant Le Moulin des Quatre Saisons;Restaurant;Restaurant gastronomique - cuisine raffinée;Rue Gallieni;72200;LA FLECHE;72154;47.6968157;-0.076003;02 43 45 12 12;moulindesquatresaisons@gmail.com;https://www.moulindes4saisons.fr/;;oui;Banquet,Climatisation,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;Allemand,Anglais,Français,Italien,Néerlandais;"01/01/2024||28/07/2024||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00|||| ; 12/08/2024||31/12/2024||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||";"Menu adulte du jour (midi en semaine)||29,90||69,90|| ; Menu enfant||15,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.6968157, -0.076003;Sarthe
Restaurant Le Moulin Moine;Restaurant;Cuisine traditionnelle;Le Moulin Moine;49600;BEAUPREAU-EN-MAUGES;49023;47.200195;-0.9215;02.41.64.22.80;lemoulinmoine@orange.fr;https://www.restaurant-moulin-moine.com/;Facebook||https://www.facebook.com/Le-Moulin-Moine-369721569790268/?fref=ts ;non;Plats à emporter,Séminaire,Service en terrasse;Tout;01/01/2024||31/12/2024||||||||||||||||||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||19:00||23:00||12:00||15:00||19:00||01:00||12:00||15:00||19:00||23:00;Menu adulte du jour (midi en semaine)||18,00||18,00||;Cartes bancaires,Chèques bancaires et postaux;47.200195, -0.9215;Maine-et-Loire
RESTAURANT LE N° 2;Restaurant;Cuisine traditionnelle;2 rue de l'église;44130;LE GAVRE;44062;47.5199997;-1.7482966;02 40 51 49 18;;;Facebook||https://www.facebook.com/people/Num%C3%A9ro-2/100088601632798/;oui;Service en terrasse,WiFi;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.5199997, -1.7482966;Loire-Atlantique
Restaurant Le P'tit Requeil;Restaurant;Pizzeria;5 Rue Charles-de-Gaulle;72510;REQUEIL;72252;47.7848623;0.16160282;09 86 62 21 48;leptitrequeil@bbox.fr;;;oui;Plats à emporter,Service en terrasse;Français;01/01/2024||31/12/2024||Nous proposons des plats à emporter tous les vendredis soirs||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||;Menu adulte du jour (midi en semaine)||14,50||||;Cartes bancaires,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant,Virement;47.7848623, 0.16160282;Sarthe
RESTAURANT LE P'TIT SAINT GEORGES;Restaurant;Cuisine traditionnelle;1 rue de Sablé;72700;SAINT-GEORGES-DU-BOIS;72280;47.9724943;0.09950609;02 43 47 14 29;nc@ai.com;https://leptitsaintgeorges.eatbu.com/;;oui;Plats à emporter,Service en terrasse;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.9724943, 0.09950609;Sarthe
restaurant le papillon;Restaurant;Cuisine traditionnelle;41 rue de Bretagne;53120;GORRON;53107;48.410694;-0.81699;02 43 08 63 67;lepapillon53@orange.fr;;Facebook||https://www.facebook.com/lepapillongorron ;non;Plats à emporter,WiFi;Anglais,Français;01/01/2024||31/12/2024||||||||||||||10:00||15:00||18:00||23:00||10:00||15:00||18:00||23:00||10:00||15:00||18:00||23:00||10:00||15:00||18:00||23:00||10:00||15:00||18:00||23:00||10:00||15:00||18:00||23:00;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.410694, -0.81699;Mayenne
RESTAURANT LE PÉGASIEN;Restaurant;Cuisine traditionnelle;16, rue Relais des Diligences;53390;SAINT-AIGNAN-SUR-ROE;53197;47.8409491;-1.1378356;02 43 06 51 02;le-pegasien@orange.fr;http://www.le-pegasien-restaurant.fr;Facebook||https://www.facebook.com/Le-P%C3%A9gasien-1432720270283435;oui;Banquet,Séminaire,Traiteur;Anglais;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.8409491, -1.1378356;Mayenne
Restaurant Le Pélican;Hôtel restaurant;Cuisine traditionnelle;8 place du Pélican;49390;VERNANTES;49368;47.393316;0.052121;02 41 51 50 20;resto@le-pelican.com;https://www.le-pelican.fr/;Facebook||https://www.facebook.com/LePelicanVernantes/ ;oui;Banquet,Livraison à domicile,Plats à emporter,WiFi;Anglais,Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tickets Restaurant;47.393316, 0.052121;Maine-et-Loire
RESTAURANT LE RELAIS;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;1, rue de l'Oudon;53400;SAINT-QUENTIN-LES-ANGES;53251;47.773233;-0.8864671;02 43 06 10 62;snc.le-relais@orange.fr;www.lerelais53.fr;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g8807514-d8802700-Reviews-Le_Relais_53-Saint_Quentin_les_Anges_Mayenne_Pays_de_la_Loire.html ;oui;Banquet,Séminaire,Traiteur,WiFi;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.773233, -0.8864671;Mayenne
RESTAURANT LE RELAIS D'AUVERSE;Restaurant;Cuisine traditionnelle;14, route de Baugé;49490;NOYANT-VILLAGES;49228;47.5186084;0.05235636;02 41 82 23 24;;;Tripadvisor||;oui;Plats à emporter,Traiteur;Tout;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Menu adulte du jour (midi en semaine)||13,20||||;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.5186084, 0.05235636;Maine-et-Loire
RESTAURANT LE RELAIS DES AVALOIRS;Restaurant;Cuisine traditionnelle;D245;53370;BOULAY-LES-IFS;53038;48.42058;-0.13255;02 43 00 93 87;lerelaisdesavaloirs@gmail.com;https://www.facebook.com/le.relais.des.avaloirs/about;;non;Banquet,Climatisation,Plats à emporter,Service en terrasse,Traiteur,WiFi;Français;13/06/2023||29/01/2025||Ouvert le week-end sur réservation||||08:00||16:30||||||08:00||16:30||||||08:00||16:30||||||08:00||16:30||||||08:00||16:30||||||||||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;48.42058, -0.13255;Mayenne
Restaurant le Relais du Bois Joli;Restaurant;Cuisine traditionnelle;35 avenue de la Libération;72350;SAINT-DENIS-D'ORQUES;72278;48.0273255;-0.260175;02 43 52 35 42;couasnon.lionel@orange.fr;;;oui;Banquet,WiFi;Tout;"01/01/2024||31/12/2024||||dimanche soir||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00|||| ; 01/01/2025||31/12/2025||||Fermé le dimanche soir||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||";"Menu adulte du jour (midi en semaine)||16,50|||| ; Menu adulte soir et week-end||16,50||||";Cartes bancaires,Chèques bancaires et postaux,Espèces;48.0273255, -0.260175;Sarthe
RESTAURANT LE SAINT LAURENT;Restaurant;Restaurant gastronomique - cuisine raffinée;Le Mont Jarry;44390;PETIT-MARS;44122;47.4012227;-1.4435202;02 40 72 72 00;resto@le-st-laurent.fr;https://www.restaurant-saintlaurent.fr;Facebook||https://www.facebook.com/people/Le-saint-Laurent/100057589714223/  ;oui;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;Français;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.4012227, -1.4435202;Loire-Atlantique
RESTAURANT LE TAJ MAHAL;Restaurant;Cuisine du Monde;20 rue du Cornet;72000;LE MANS;72181;48.0050452;0.19536229;02 43 24 54 87;;https://www.facebook.com/TajMahalLeMans/;Facebook||https://www.facebook.com/pages/Taj-Mahal/135903569816136?fref=ts;non;;Tout;||||||lundi midi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Chèques Vacances;48.0050452, 0.19536229;Sarthe
RESTAURANT LE TIVOLI;Restaurant;Cuisine traditionnelle;2 avenue du Général Leclerc;44190;CLISSON;44043;47.084527;-1.2827526;02 28 00 39 76;;https://letivoli-restaurant.fr/;;oui;;Tout;;;Tout;47.084527, -1.2827526;Loire-Atlantique
RESTAURANT LES CHAMPS D'AVAUX;Hôtel restaurant;Cuisine traditionnelle;Route de Nantes - Pornic-Noirmoutier;44830;BOUAYE;44018;47.1429384;-1.6629204;02 40 65 43 50;;https://www.champsdavaux.com;;oui;Plats à emporter,Séminaire,Service en terrasse,WiFi;Anglais,Espagnol,Français;;"Menu adulte du jour (midi en semaine)||||||Menu du Marché 2 ou 3 plats ; Menu adulte soir et week-end||||||Menus Plaisirs";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.1429384, -1.6629204;Loire-Atlantique
Restaurant les Fouées de Grézillé;Restaurant;Général;Lieu-dit La Bachellerie;49320;GENNES-VAL-DE-LOIRE;49261;47.330362;-0.342074;02 41 45 53 57;contact@lesfoueesdegrezille.fr;http://www.lesfoueesdegrezille.fr;Facebook||https://www.facebook.com/lesfoueesdegrezille/ ;oui;Chaise haute / Réhausseur,Plats à emporter;Anglais,Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.330362, -0.342074;Maine-et-Loire
